d,alpha,ours_growth_slope_loglog,shen_growth_slope_loglog,kim_growth_slope_loglog,ours_rate_is_smallest
3,3.0,0.0763,1.0,0.3333,True
2,2.0,0.0763,1.0,0.3333,True
1,1.0,0.0763,1.0,0.3333,True
