alpha,d,n,mse,sem,mode,rate_r,slope
1.0,1,512,0.021560742468128172,0.00020039419582592712,control_too_slow_bandwidth,0.6667,-0.1398
1.0,1,1024,0.01951583964069404,0.0001120483075732046,control_too_slow_bandwidth,0.6667,-0.1398
1.0,1,2048,0.017416018078335253,9.300190316630539e-05,control_too_slow_bandwidth,0.6667,-0.1398
1.0,1,4096,0.01568778782125761,5.398518932774604e-05,control_too_slow_bandwidth,0.6667,-0.1398
1.0,2,32,0.023272351419156755,0.0008396665521757857,optimal,0.5,-0.537
1.0,2,64,0.0161315971298387,0.0005012217972903068,optimal,0.5,-0.537
1.0,2,128,0.009996587394096479,0.0002809956821947214,optimal,0.5,-0.537
1.0,2,256,0.007078096689300539,0.00018170499760168752,optimal,0.5,-0.537
1.0,2,512,0.005019756586871392,0.00011474124353270208,optimal,0.5,-0.537
1.0,2,1024,0.0035976110581166553,8.380802801282387e-05,optimal,0.5,-0.537
1.0,2,2048,0.0023914794963482804,4.8298284768289e-05,optimal,0.5,-0.537
1.0,2,4096,0.001700786374604526,3.4701360159980065e-05,optimal,0.5,-0.537
1.0,2,32,0.06501548285858096,0.002063313351749205,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,64,0.059368072932461456,0.0012997351900277854,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,128,0.054205426764610466,0.000951993263253945,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,256,0.05044506463048322,0.0005218947575099809,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,512,0.04699463802141808,0.00041967818514383087,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,1024,0.043867359420377686,0.00030431580887274357,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,2048,0.04055789065702482,0.0002068014935365862,control_too_slow_bandwidth,0.5,-0.1117
1.0,2,4096,0.03728572846307292,0.0001304331029424386,control_too_slow_bandwidth,0.5,-0.1117
1.0,3,32,0.4697158961267305,0.3266426313799695,optimal,0.4,-0.764
1.0,3,64,0.040519174567343816,0.00536883586960943,optimal,0.4,-0.764
1.0,3,128,0.024795700348544274,0.0011522038682461248,optimal,0.4,-0.764
1.0,3,256,0.018257626947242086,0.0006288679777545596,optimal,0.4,-0.764
1.0,3,512,0.011504496236367734,0.0003641989613327008,optimal,0.4,-0.764
1.0,3,1024,0.009187308710070365,0.0003045102738000423,optimal,0.4,-0.764
1.0,3,2048,0.006770668043825116,0.00017043502925612194,optimal,0.4,-0.764
1.0,3,4096,0.004789948205931868,0.00013150199550755078,optimal,0.4,-0.764
1.0,3,32,0.08857603563923548,0.0032223383565154005,control_too_slow_bandwidth,0.4,-0.102
1.0,3,64,0.08014462517925405,0.0023208794097936505,control_too_slow_bandwidth,0.4,-0.102
1.0,3,128,0.0749036956049306,0.0013060792454938218,control_too_slow_bandwidth,0.4,-0.102
1.0,3,256,0.06924269382345659,0.0009744527334934154,control_too_slow_bandwidth,0.4,-0.102
1.0,3,512,0.06478434719049213,0.0007749551603033865,control_too_slow_bandwidth,0.4,-0.102
1.0,3,1024,0.06163741928663078,0.0005093291943655037,control_too_slow_bandwidth,0.4,-0.102
1.0,3,2048,0.05716592154721343,0.0003032832351767408,control_too_slow_bandwidth,0.4,-0.102
1.0,3,4096,0.052954194571373236,0.00024571489489507516,control_too_slow_bandwidth,0.4,-0.102
1.5,1,32,0.00038422666022198715,2.711631448616282e-05,optimal,0.75,-0.7558
1.5,1,64,0.00024016723288110956,2.0375653103988134e-05,optimal,0.75,-0.7558
1.5,1,128,0.00013719807076648967,1.0119237633488597e-05,optimal,0.75,-0.7558
1.5,1,256,7.026862931345118e-05,5.357182883611652e-06,optimal,0.75,-0.7558
1.5,1,512,4.772294303269338e-05,3.7269191435509246e-06,optimal,0.75,-0.7558
1.5,1,1024,2.641084004912827e-05,1.9771434719515605e-06,optimal,0.75,-0.7558
1.5,1,2048,1.670482786658088e-05,1.3567995703848143e-06,optimal,0.75,-0.7558
1.5,1,4096,1.0277405941890962e-05,7.649240561638694e-07,optimal,0.75,-0.7558
1.5,1,32,0.0005485469176454544,6.236127876450084e-05,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,64,0.00035773105810159333,4.050550405842356e-05,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,128,0.0003639703232006593,2.7665747030890313e-05,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,256,0.00027065414596953854,1.787582802575488e-05,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,512,0.0002588984852950076,1.2692378310305859e-05,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,1024,0.0002523040363686773,8.616604644858857e-06,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,2048,0.00023195379737982929,5.523599648763144e-06,control_too_slow_bandwidth,0.75,-0.1691
1.5,1,4096,0.00021571668580047434,3.796066707748166e-06,control_too_slow_bandwidth,0.75,-0.1691
1.5,2,32,0.0018700137120902616,0.0001900526255038467,optimal,0.6,-0.6952
1.5,2,64,0.001204523567443394,9.414945286227052e-05,optimal,0.6,-0.6952
1.5,2,128,0.0006538083806507891,5.253172783942375e-05,optimal,0.6,-0.6952
1.5,2,256,0.0003671709275619445,3.1188189529787765e-05,optimal,0.6,-0.6952
1.5,2,512,0.00024077528466440426,2.033117699324607e-05,optimal,0.6,-0.6952
1.5,2,1024,0.00015697678751700183,1.3053685235396862e-05,optimal,0.6,-0.6952
1.5,2,2048,9.788632115420226e-05,7.628952836529629e-06,optimal,0.6,-0.6952
1.5,2,4096,6.775289031036766e-05,4.792855067884784e-06,optimal,0.6,-0.6952
1.5,2,32,0.0014472072133113717,0.000191441485560971,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,64,0.00110078919824948,0.0001362540038006843,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,128,0.0008651447400746918,8.217821293683183e-05,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,256,0.0007567829347219963,4.594876424183041e-05,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,512,0.0006672679278824232,3.451569535770007e-05,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,1024,0.000635317903174523,2.1321174340262673e-05,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,2048,0.0006023556566537556,1.508023498110576e-05,control_too_slow_bandwidth,0.6,-0.1819
1.5,2,4096,0.0005696482154606637,1.1127231948350321e-05,control_too_slow_bandwidth,0.6,-0.1819
1.5,3,32,0.2012283420340167,0.12100586417140145,optimal,0.5,-1.3254
1.5,3,64,0.04913409441725349,0.015498773682327213,optimal,0.5,-1.3254
1.5,3,128,0.01705551744654154,0.006743113833319938,optimal,0.5,-1.3254
1.5,3,256,0.0037861726199548,0.001075299475472487,optimal,0.5,-1.3254
1.5,3,512,0.001196862007817797,0.00010004592439769426,optimal,0.5,-1.3254
1.5,3,1024,0.0008433455813808284,6.306374313781478e-05,optimal,0.5,-1.3254
1.5,3,2048,0.0004986998356307259,3.694106321318639e-05,optimal,0.5,-1.3254
1.5,3,4096,0.00037239263387734046,3.0284298612849918e-05,optimal,0.5,-1.3254
1.5,3,32,0.003967624186818862,0.0006142281974546033,control_too_slow_bandwidth,0.5,-0.3037
