degree,width,max_err
2,8,0.020408163265306145
2,16,0.004444444444444473
2,32,0.0010405827263266776
2,64,0.0002519526329050059
2,128,6.200012400037203e-05
3,8,0.05251853736734691
3,16,0.012446162666666538
3,32,0.003021121798127635
3,64,0.0007437805553036636
3,128,0.0001844807519377767
4,8,0.09065497619715757
4,16,0.023262501226852028
4,32,0.005848935041602554
4,64,0.0014639495413583115
4,128,0.00036604464409750737
