alpha,d,shen_gap,kim_gap
0.3,1,1.3749999999999998,1.25
0.3,2,1.2307692307692306,1.538461538461538
0.3,3,1.1666666666666665,1.6666666666666665
0.3,5,1.1071428571428572,1.7857142857142858
0.3,8,1.0697674418604652,1.8604651162790702
0.5,1,1.5,1.0
0.5,2,1.3333333333333335,1.3333333333333335
0.5,3,1.25,1.5
0.5,5,1.1666666666666665,1.6666666666666665
0.5,8,1.1111111111111112,1.7777777777777777
1.0,1,1.666666666666667,0.6666666666666666
1.0,2,1.5,1.0
1.0,3,1.4,1.2000000000000002
1.0,5,1.2857142857142856,1.4285714285714284
1.0,8,1.2,1.6
1.5,1,1.75,0.5
1.5,2,1.6,0.7999999999999999
1.5,3,1.5,1.0
1.5,5,1.375,1.25
1.5,8,1.2727272727272727,1.4545454545454546
2.0,1,1.8,0.3999999999999999
2.0,2,1.666666666666667,0.6666666666666666
2.0,3,1.5714285714285714,0.8571428571428572
2.0,5,1.4444444444444444,1.1111111111111112
2.0,8,1.3333333333333335,1.3333333333333335
3.0,1,1.8571428571428572,0.2857142857142857
3.0,2,1.75,0.5
3.0,3,1.666666666666667,0.6666666666666666
3.0,5,1.5454545454545454,0.9090909090909092
3.0,8,1.4285714285714286,1.1428571428571428
5.0,1,1.9090909090909092,0.18181818181818177
5.0,2,1.833333333333333,0.33333333333333337
5.0,3,1.7692307692307692,0.46153846153846156
5.0,5,1.666666666666667,0.6666666666666666
5.0,8,1.5555555555555556,0.8888888888888888
