alpha,d,n,rate_n,term3,term3_over_rate
1.0,1,64,0.06250000000000001,0.1053561724391261,1.685698759026017
1.0,1,512,0.015625000000000003,0.023341228606823312,1.4938386308366918
1.0,1,4096,0.003906250000000001,0.005413417319277408,1.3858348337350161
1.5,2,64,0.0824692444233059,0.13815915871406628,1.6752810054243974
1.5,2,512,0.023683071351724972,0.03519069520515431,1.4859008226815638
1.5,2,4096,0.0068011762757509715,0.00938186838884596,1.3794479084884526
2.5,3,64,0.07432544468767006,0.12480636976838297,1.679187663025005
2.5,3,512,0.020263118041422026,0.030169300546706693,1.4888775007397366
2.5,3,4096,0.005524271728019903,0.0076336762476021565,1.3818430054559137
